fpr,tpr
0.0,0.0
0.0,0.2755102040816326
0.0,0.3979591836734694
0.0,0.47959183673469385
0.0,0.5408163265306123
0.0,0.5714285714285714
0.0,0.5816326530612245
0.0,0.6020408163265306
0.0,0.6428571428571429
0.0,0.6632653061224489
0.0,0.7244897959183674
3.517163759144626e-05,0.7653061224489796
3.517163759144626e-05,0.7857142857142857
7.034327518289252e-05,0.7857142857142857
7.034327518289252e-05,0.7959183673469388
0.0001231007315700619,0.7959183673469388
0.0001231007315700619,0.8061224489795918
0.00014068655036578504,0.8163265306122449
0.00014068655036578504,0.826530612244898
0.00015827236916150816,0.826530612244898
0.00015827236916150816,0.8367346938775511
0.00017585818795723128,0.8469387755102041
0.00022861564434440066,0.8469387755102041
0.0002462014631401238,0.8571428571428571
0.00026378728193584693,0.8571428571428571
0.0002813731007315701,0.8673469387755102
0.0003165447383230163,0.8673469387755102
0.00033413055711873946,0.8775510204081632
0.00035171637591446255,0.8775510204081632
0.00040447383230163194,0.8775510204081632
0.00043964546989307823,0.8775510204081632
0.0005099887450759707,0.8877551020408163
0.0005627462014631402,0.8877551020408163
0.0005979178390545863,0.8877551020408163
0.0006506752954417558,0.8877551020408163
0.0006858469330332021,0.8877551020408163
0.0008089476646032639,0.8877551020408163
0.0008968767585818796,0.8877551020408163
0.0010199774901519414,0.8877551020408163
0.0013013505908835116,0.8877551020408163
0.0015299662352279122,0.8877551020408163
0.0017058244231851435,0.8877551020408163
0.0019344400675295442,0.8877551020408163
0.002180641530669668,0.8877551020408163
0.0024971862689926842,0.8877551020408163
0.0030599324704558245,0.8877551020408163
0.0034819921215531796,0.8877551020408163
0.004396454698930782,0.8877551020408163
0.005592290377039955,0.8979591836734694
0.007526730444569499,0.8979591836734694
0.010481148002250985,0.8979591836734694
0.015774479459763648,0.9183673469387755
0.025024620146314014,0.9387755102040817
0.04811480022509848,0.9387755102040817
0.13303671918964546,0.9693877551020408
1.0,1.0
